time_sec,left_motor,right_motor,forward,backward,left_turn,right_turn,serial_command
6.9213,0,0,0,0,0,0,L0 R0
6.9712,0,0,0,0,0,0,L0 R0
7.022,0,0,0,0,0,0,L0 R0
7.0728,0,0,0,0,0,0,L0 R0
7.1226,0,0,0,0,0,0,L0 R0
7.1723,0,0,0,0,0,0,L0 R0
7.2229,0,0,0,0,0,0,L0 R0
7.2726,0,0,0,0,0,0,L0 R0
7.3224,0,0,0,0,0,0,L0 R0
7.3723,0,0,0,0,0,0,L0 R0
7.4229,0,0,0,0,0,0,L0 R0
7.4729,0,0,0,0,0,0,L0 R0
7.5224,0,0,0,0,0,0,L0 R0
7.5727,0,0,0,0,0,0,L0 R0
7.6223,0,0,0,0,0,0,L0 R0
7.6725,0,0,0,0,0,0,L0 R0
7.7224,0,0,0,0,0,0,L0 R0
7.7721,0,0,0,0,0,0,L0 R0
7.8227,0,0,0,0,0,0,L0 R0
7.8725,0,0,0,0,0,0,L0 R0
7.9224,0,0,0,0,0,0,L0 R0
7.9727,0,0,0,0,0,0,L0 R0
8.0225,0,0,0,0,0,0,L0 R0
8.0727,0,0,0,0,0,0,L0 R0
8.1227,0,0,0,0,0,0,L0 R0
8.1727,0,0,0,0,0,0,L0 R0
8.2223,0,0,0,0,0,0,L0 R0
8.2723,0,0,0,0,0,0,L0 R0
8.3221,0,0,0,0,0,0,L0 R0
8.373,0,0,0,0,0,0,L0 R0
8.4226,0,0,0,0,0,0,L0 R0
8.4726,0,0,0,0,0,0,L0 R0
8.5226,0,0,0,0,0,0,L0 R0
8.5725,0,0,0,0,0,0,L0 R0
8.6221,0,0,0,0,0,0,L0 R0
8.6722,0,0,0,0,0,0,L0 R0
8.722,0,0,0,0,0,0,L0 R0
8.7729,0,0,0,0,0,0,L0 R0
8.8225,0,0,0,0,0,0,L0 R0
8.8723,0,0,0,0,0,0,L0 R0
8.922,0,0,0,0,0,0,L0 R0
8.973,0,0,0,0,0,0,L0 R0
9.0239,0,0,0,0,0,0,L0 R0
9.0735,0,0,0,0,0,0,L0 R0
9.1233,0,0,0,0,0,0,L0 R0
9.1732,0,0,0,0,0,0,L0 R0
9.2231,0,0,0,0,0,0,L0 R0
9.2739,0,0,0,0,0,0,L0 R0
9.3248,0,0,0,0,0,0,L0 R0
9.3746,0,0,0,0,0,0,L0 R0
9.4245,0,0,0,0,0,0,L0 R0
9.4747,0,0,0,0,0,0,L0 R0
9.5246,0,0,0,0,0,0,L0 R0
9.5745,0,0,0,0,0,0,L0 R0
9.6245,0,0,0,0,0,0,L0 R0
9.6743,0,0,0,0,0,0,L0 R0
9.7242,0,0,0,0,0,0,L0 R0
9.7741,0,0,0,0,0,0,L0 R0
9.8239,0,0,0,0,0,0,L0 R0
9.8747,0,0,0,0,0,0,L0 R0
9.9245,0,0,0,0,0,0,L0 R0
9.9741,0,0,0,0,0,0,L0 R0
10.024,0,0,0,0,0,0,L0 R0
10.0746,0,0,0,0,0,0,L0 R0
10.1242,0,0,0,0,0,0,L0 R0
10.174,0,0,0,0,0,0,L0 R0
