time_sec,axis_x,axis_y,left_motor,right_motor,serial_command
0.0021,0.0,0.0,0,0,L0 R0
0.0528,0.0,0.0,0,0,L0 R0
0.1041,0.0,0.0,0,0,L0 R0
0.1546,0.0,0.0,0,0,L0 R0
0.2051,0.0,0.0,0,0,L0 R0
0.2557,0.0,0.0,0,0,L0 R0
0.3063,0.0,0.0,0,0,L0 R0
0.3568,0.0,0.0,0,0,L0 R0
0.4074,0.0,0.0,0,0,L0 R0
0.4583,0.0,0.0,0,0,L0 R0
0.5092,0.0,0.0,0,0,L0 R0
0.5614,0.0,0.0,0,0,L0 R0
0.6148,0.0,0.0,0,0,L0 R0
0.6663,0.0,0.0,0,0,L0 R0
0.7174,0.0,0.0,0,0,L0 R0
0.7681,0.0,0.0,0,0,L0 R0
0.8192,0.0,0.0,0,0,L0 R0
0.8696,0.0,0.0,0,0,L0 R0
0.9202,0.0,0.0,0,0,L0 R0
0.9765,0.0,0.0,0,0,L0 R0
1.0294,0.0,0.0,0,0,L0 R0
1.0801,0.0,0.0,0,0,L0 R0
1.1317,0.0,0.0,0,0,L0 R0
1.1856,0.0,0.0,0,0,L0 R0
1.2366,0.0,0.0,0,0,L0 R0
1.298,0.0,0.0,0,0,L0 R0
1.3501,0.0,0.0,0,0,L0 R0
1.4006,0.0,0.0,0,0,L0 R0
1.4517,0.0,0.0,0,0,L0 R0
1.5025,0.0,0.0,0,0,L0 R0
1.5533,0.0,0.0,0,0,L0 R0
1.6038,0.0,0.0,0,0,L0 R0
1.6554,0.0,0.0,0,0,L0 R0
1.707,0.0,0.0,0,0,L0 R0
1.7582,0.0,0.0,0,0,L0 R0
1.8091,0.0,0.0,0,0,L0 R0
1.8617,0.0,0.0,0,0,L0 R0
1.9131,0.0,0.0,0,0,L0 R0
1.9683,0.0,0.0,0,0,L0 R0
2.0188,0.0,0.0,0,0,L0 R0
2.0696,0.0,0.0,0,0,L0 R0
2.1205,0.0,0.0,0,0,L0 R0
2.1716,0.0,0.0,0,0,L0 R0
2.2233,0.0,0.0,0,0,L0 R0
2.2744,0.0,0.0,0,0,L0 R0
2.3252,0.0,0.0,0,0,L0 R0
2.376,0.0,0.0,0,0,L0 R0
2.4268,0.0,0.0,0,0,L0 R0
2.4786,0.0,0.0,0,0,L0 R0
2.5308,0.0,0.0,0,0,L0 R0
2.5829,0.0,0.0,0,0,L0 R0
2.6341,0.0,0.0,0,0,L0 R0
2.6855,0.0,0.0,0,0,L0 R0
2.7383,0.0,0.0,0,0,L0 R0
2.791,0.0,0.0,0,0,L0 R0
2.8426,0.0,0.0,0,0,L0 R0
2.8933,0.0,0.0,0,0,L0 R0
2.9443,0.0,0.0,0,0,L0 R0
2.9961,0.0,0.0,0,0,L0 R0
3.0467,0.0,0.0,0,0,L0 R0
3.099,0.0,0.0,0,0,L0 R0
3.1496,0.0,0.0,0,0,L0 R0
3.2002,0.0,0.0,0,0,L0 R0
3.2507,0.0,0.1921,-34,-34,L-34 R-34
3.3014,0.0,1.0,-179,-179,L-179 R-179
3.3521,0.0,1.0,-179,-179,L-179 R-179
3.4037,0.5529,0.8353,-50,-249,L-50 R-249
3.4582,0.8274,0.5686,46,-251,L46 R-251
3.5088,1.0,0.0,179,-179,L179 R-179
3.5594,1.0,0.0,179,-179,L179 R-179
3.6101,1.0,0.0,179,-179,L179 R-179
3.6607,0.8117,-0.5765,249,-42,L249 R-42
3.7114,0.3412,-0.9294,228,105,L228 R105
3.7619,0.0,-1.0,180,180,L180 R180
3.8129,0.0,-1.0,180,180,L180 R180
3.8635,-0.2314,-0.9686,132,216,L132 R216
3.9144,-0.3098,0.0,-55,55,L-55 R55
3.9667,-0.2941,0.0,-52,52,L-52 R52
4.0199,-0.5608,0.8196,-248,-46,L-248 R-46
4.0705,0.0,0.9921,-178,-178,L-178 R-178
4.1213,0.0,1.0,-179,-179,L-179 R-179
4.1719,0.0,1.0,-179,-179,L-179 R-179
4.2224,0.0,0.0,0,0,L0 R0
4.2758,0.0,0.0,0,0,L0 R0
4.3263,0.0,0.0,0,0,L0 R0
4.3768,0.0,0.0,0,0,L0 R0
4.4273,0.0,0.0,0,0,L0 R0
4.4779,0.0,0.0,0,0,L0 R0
4.5294,0.0,-0.2,36,36,L36 R36
4.5799,0.2157,-0.9686,213,135,L213 R135
4.6309,0.4588,-0.8824,241,76,L241 R76
4.6879,0.4902,-0.8667,244,67,L244 R67
4.7407,0.2314,-0.9686,215,132,L215 R132
4.7925,0.0,-1.0,180,180,L180 R180
4.8446,0.0,-1.0,180,180,L180 R180
4.8956,0.0,-1.0,180,180,L180 R180
4.9466,0.0,-1.0,180,180,L180 R180
4.9972,0.0,-1.0,180,180,L180 R180
5.048,0.0,0.0,0,0,L0 R0
5.0988,0.0,0.0,0,0,L0 R0
5.1492,0.0,0.0,0,0,L0 R0
5.2001,0.0,0.0,0,0,L0 R0
5.2527,0.0,0.0,0,0,L0 R0
5.3036,0.0,0.0,0,0,L0 R0
5.3554,0.3412,-0.9294,228,105,L228 R105
5.4061,0.3725,-0.9137,231,97,L231 R97
5.4568,0.0,-1.0,180,180,L180 R180
5.5074,0.0,-1.0,180,180,L180 R180
5.558,0.0,-1.0,180,180,L180 R180
5.6089,0.0,-1.0,180,180,L180 R180
5.6679,0.0,-1.0,180,180,L180 R180
5.7184,0.0,-1.0,180,180,L180 R180
5.7688,0.0,-1.0,180,180,L180 R180
5.8193,0.0,-1.0,180,180,L180 R180
5.8698,0.0,-1.0,180,180,L180 R180
5.9205,0.0,-1.0,180,180,L180 R180
5.971,0.0,-1.0,180,180,L180 R180
6.0215,0.0,-1.0,180,180,L180 R180
6.072,0.0,-1.0,180,180,L180 R180
6.1283,0.0,-1.0,180,180,L180 R180
6.1788,0.0,-1.0,180,180,L180 R180
6.2293,0.0,-1.0,180,180,L180 R180
6.2798,0.0,-1.0,180,180,L180 R180
6.3304,0.0,-1.0,180,180,L180 R180
6.3834,0.0,0.0,0,0,L0 R0
6.4373,0.0,0.0,0,0,L0 R0
6.488,0.0,0.0,0,0,L0 R0
6.5387,0.0,0.0,0,0,L0 R0
6.5895,0.0,0.0,0,0,L0 R0
6.6416,0.0,-0.3098,55,55,L55 R55
6.6924,-0.2235,-0.5686,62,142,L62 R142
6.746,-0.4667,-0.8667,71,240,L71 R240
6.7969,-0.4667,-0.8667,71,240,L71 R240
6.8479,-0.4667,-0.8667,71,240,L71 R240
6.8988,-0.4745,-0.8431,66,237,L66 R237
6.9493,-0.4745,-0.8431,66,237,L66 R237
7.0004,-0.4824,-0.8431,64,238,L64 R238
7.0529,-0.5216,-0.7804,46,234,L46 R234
7.1038,-0.6706,-0.6549,-2,238,L-2 R238
7.1547,-0.6863,-0.6549,-5,241,L-5 R241
7.2055,-0.6863,-0.6549,-5,241,L-5 R241
7.256,-0.6863,-0.6549,-5,241,L-5 R241
7.3066,-0.6863,-0.6549,-5,241,L-5 R241
7.3573,-0.6863,-0.6549,-5,241,L-5 R241
7.4081,-0.6863,-0.6549,-5,241,L-5 R241
7.4602,-0.6863,-0.6549,-5,241,L-5 R241
7.5116,-0.6863,-0.6549,-5,241,L-5 R241
7.563,-0.6863,-0.6549,-5,241,L-5 R241
7.6139,-0.6863,-0.6628,-4,242,L-4 R242
7.6647,-0.6863,-0.6628,-4,242,L-4 R242
7.7156,-0.6863,-0.6628,-4,242,L-4 R242
7.7666,-0.6863,-0.6628,-4,242,L-4 R242
7.8174,-0.6863,-0.6549,-5,241,L-5 R241
7.8694,-0.2941,-0.3882,16,122,L16 R122
7.9215,0.0,0.0,0,0,L0 R0
7.9727,0.0,0.0,0,0,L0 R0
8.0241,0.0,0.0,0,0,L0 R0
8.075,0.0,0.0,0,0,L0 R0
8.1255,-0.1922,0.9215,-200,-131,L-200 R-131
8.1764,0.0,1.0,-179,-179,L-179 R-179
8.2272,0.0,1.0,-179,-179,L-179 R-179
8.278,0.0,1.0,-179,-179,L-179 R-179
8.3285,0.0,1.0,-179,-179,L-179 R-179
9.0349,0.0,1.0,-179,-179,L-179 R-179
11.5757,0.0,1.0,-179,-179,L-179 R-179
14.3158,0.0,0.0,0,0,L0 R0
16.8437,0.0,0.0,0,0,L0 R0
18.8757,0.349,0.0,62,-62,L62 R-62
20.9019,0.0,0.0,0,0,L0 R0
